,tweet_id,original_tweet_id,original_tweet_user,date_time,user_id,username,followers,friends,user_description,statuses,text,nr_likes,users_likes,nr_RT,entities
12,815119407185797120,,,2016-12-31 08:56:25,414136102,JanTerlouw,8290,54,jan terlouw,454,Klimaat (3): Op een gelijk speelveld vinden ondernemers met hun visie en verbeeldingskracht de goede oplossingen.,40,thomasvanbier;paulharts;YouBeDo;HSiksma;LiefstLiefde;PJKortes;MiriamterBraak;YvonnedeGraaf3;FietstaxiTburg;AJCvWijk;KarelBrits;IAmLeontien;MuplinOfficial;SopBrouwer;Klimaatzuster;WoltersKluwWABO;InnerGeniusGolf;JanFransNeels;BedrijfsadresNL;PacoHaffmans;thenewbuilders;suzanne_GL;secondhomemondi;fetsevis;ezwaart,70,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': []}"
72,818361922735067137,,,2017-01-09 07:41:01,312081748,Klimaatplein,4871,92,In 5 stappen CO2-neutraal ondernemen. Besparen & opwekken van duurzame energie voor bedrijven om klimaatverandering tegen te gaan. Check http://t.co/luyGXZ86,8395,Brabantse bedrijven gezocht voor testcase CO2-beprijzing. Meld je gratis aan en wordt duurzame koploper!  https://t.co/RUwMh86zwZ,4,GrootscholteBV;granaatappel;franca_horst,11,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RUwMh86zwZ', 'expanded_url': 'https://cards.twitter.com/cards/18ce53yrfdv/2ws2z', 'indices': [106, 129], 'display_url': 'cards.twitter.com/cards/18ce53yr…'}]}"
83,812586450822819840,,,2016-12-24 09:11:21,2808596993,AlfonsWispels,30101,28312,"Duurzame Pionier, oprichter PURE ENERGIE : 4 x op rij groenste energiemerk van Nederland. Gaat voor een leukere, betere, schone én veilige wereld!",7091,"Smelten ijs logisch gevolg na alle rekord warmtejaren, maar de #klimaat boodschap komt nog steeds niet over!… https://t.co/8QKx7los2r",7,Dolphy25;PatrickBrouwer6;bikha_steven;PD1ANS;IngridRegelink;Matthijs85;vdborch,16,"{'symbols': [], 'hashtags': [{'indices': [63, 71], 'text': 'klimaat'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8QKx7los2r', 'expanded_url': 'https://twitter.com/i/web/status/812586450822819840', 'indices': [110, 133], 'display_url': 'twitter.com/i/web/status/8…'}]}"
99,816792269378482176,,,2017-01-04 23:43:46,305489251,ZehnderGroupNed,536,1005,"In alles wat we doen, geloven wij in een gezond, comfortabel en energie-efficient binnenklimaat.",2179,Always the best climate? Kies voor de innovatieve Zehnder ComfoAir Q 1e modulerende ventilatie met #wtw. Vraag erna… https://t.co/QaTvGwPIoe,0,[],1,"{'symbols': [], 'hashtags': [{'indices': [99, 103], 'text': 'wtw'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QaTvGwPIoe', 'expanded_url': 'https://twitter.com/i/web/status/816792269378482176', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…'}]}"
101,816565780649218048,,,2017-01-04 08:43:47,2243729996,ChrisWauman,57,92,"Liefhebbende echtgenoot van @DebbyBurssens en vader van Ernesto, IT ECM Architect @AGInsuranceBE, delegee @BBTK_ABVV, secretary EWC @AgeasGroup",590,"Milieubeleid #vlareg: bossen kappen, vasthouden BAM traject &amp; geld voor vervuilers @Climate_Express @BeterLeefmilieu https://t.co/f2Rs2YlK9q",2,amarinswijma;Climate_Express,3,"{'symbols': [], 'hashtags': [{'indices': [13, 20], 'text': 'vlareg'}], 'user_mentions': [{'id_str': '2786987447', 'screen_name': 'Climate_Express', 'id': 2786987447, 'name': 'Climate Express', 'indices': [87, 103]}, {'id_str': '560951807', 'screen_name': 'BeterLeefmilieu', 'id': 560951807, 'name': 'BondBeterLeefmilieu', 'indices': [104, 120]}], 'urls': [{'url': 'https://t.co/f2Rs2YlK9q', 'expanded_url': 'http://demorgen.be/s/ax83791ca/1vtzP1', 'indices': [121, 144], 'display_url': 'demorgen.be/s/ax83791ca/1v…'}]}"
104,816963460181307392,,,2017-01-05 11:04:02,548484301,CO2Adviseurs,1093,271,Het snelst groeiende (en leukste!) CO2 advies bureau van Nederland. Kom naar één van onze gratis seminars! https://t.co/GaOivJ1Fln,1448,Gratis seminar over de CO2-Prestatieladder niveau 3 op 10 januari. Heb jij je al aangemeld?! https://t.co/JXivMAmCBP https://t.co/00Pkoeapbb,2,GroeneZaken,4,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'media': [{'sizes': {'large': {'w': 856, 'resize': 'fit', 'h': 584}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}, 'medium': {'w': 856, 'resize': 'fit', 'h': 584}, 'small': {'w': 680, 'resize': 'fit', 'h': 464}}, 'display_url': 'pic.twitter.com/00Pkoeapbb', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/media/C1PgwKRXcAEeryJ.jpg', 'url': 'https://t.co/00Pkoeapbb', 'type': 'photo', 'id_str': '816243075479728129', 'expanded_url': 'https://twitter.com/CO2Adviseurs/status/816963460181307392/photo/1', 'media_url_https': 'https://pbs.twimg.com/media/C1PgwKRXcAEeryJ.jpg', 'id': 816243075479728129}], 'urls': [{'url': 'https://t.co/JXivMAmCBP', 'expanded_url': 'https://www.co2adviseurs.nl/seminars/co2-prestatieladder-niveau-3/', 'indices': [93, 116], 'display_url': 'co2adviseurs.nl/seminars/co2-p…'}]}"
108,803193224621854720,,,2016-11-28 11:06:02,7692762,steeph,4998,5179,Chief @Datagraver | Factchecker | Projectmanager: hoedt nerds en stuurt managers+stakeholders via https://t.co/FdIQM7bE6t | Blogger en datajournalist @Sargasso,50136,Even scores nogmaals op een rij van hoe goed de partijen hun best doen voor het klimaat i.d. verkiezingsprogramma's… https://t.co/I063lGfsaD,147,DyanaLoehr;PLONSWoerden;Fambaxxx;demuzeblog;sandrataal;ArnhemsKlimaat;Koperlokje;ChristaRomp;tijdvooreten;whateverhewants;annalisaloves;zmooc;Omar_Larabi;happybandits;jjcverhorst;7eKamer;Thiesinger;ColindaBoender;Cosmopolitka;HGroenenberg;frankvanrest;HitsieZ;MijkeEnZo;TheoJans1;daze70,383,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/I063lGfsaD', 'expanded_url': 'https://twitter.com/i/web/status/803193224621854720', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…'}]}"
114,816635970871316480,,,2017-01-04 13:22:42,823276134,JoyceHeijningen,844,1305,42 jr | Milieudefensie | @PvdDAmsterdam | AMVJ hockey | blij kindvrij | idealist | atheïst | postmaterialist | pragmatist | altruïst | ecoïst,6058,"Onthoud dit!! ""#Armoede, ondervoeding en #honger zijn een gevolg van beleidskeuzes, niet van schaarste."" https://t.co/9dXYmcEpgV #klimaat",0,[],2,"{'symbols': [], 'hashtags': [{'indices': [15, 23], 'text': 'Armoede'}, {'indices': [41, 48], 'text': 'honger'}, {'indices': [129, 137], 'text': 'klimaat'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9dXYmcEpgV', 'expanded_url': 'http://www.duurzaamnieuws.nl/waarom-we-met-planten-zowel-honger-als-klimaatproblemen-kunnen-oplossen/', 'indices': [105, 128], 'display_url': 'duurzaamnieuws.nl/waarom-we-met-…'}]}"
117,815935888542863360,,,2017-01-02 15:00:49,96745438,norbert1972,1115,2871,"Redacteur bij F&B in Hilversum voor @Ensoc magazine. Hou van mijn zoon Quinten en hard fietsen. Lid van @VWN, @Le_Champion en @ap_gen",11028,"Is wetenschap een mening? Nee, zegt hoogleraar filosofie Anthonie Meijers @filosofieblog https://t.co/NOAg7PaN1i (via @TUeindhoven) #klimaat",0,[],1,"{'symbols': [], 'hashtags': [{'indices': [132, 140], 'text': 'klimaat'}], 'user_mentions': [{'id_str': '2817160501', 'screen_name': 'filosofieblog', 'id': 2817160501, 'name': 'Bij Nader Inzien', 'indices': [74, 88]}, {'id_str': '15028114', 'screen_name': 'TUeindhoven', 'id': 15028114, 'name': 'TU Eindhoven', 'indices': [118, 130]}], 'urls': [{'url': 'https://t.co/NOAg7PaN1i', 'expanded_url': 'https://bijnaderinzien.org/2017/01/02/waarheid-en-leugen/', 'indices': [89, 112], 'display_url': 'bijnaderinzien.org/2017/01/02/waa…'}]}"
125,814810727550775296,,,2016-12-30 12:29:50,217037545,maartenhajer,6460,622,Prof. Urban Futures & Director @FuturesStudioUU @UniUtrecht. Member @UNEPIRP. Curated IABR–2016 Next Economy. Cities|Governance|Discourse|Futures|Sustainability,4482,Misleidende kop op @NOS - 'Weinig mensen zien klimaat als maatschappelijk probleem' - Ligt aan vraagstelling. 😏 https://t.co/itzPx5xSMf,11,NVerdaasdonk;colette_bos;StefanPLJanssen;AartGoossens;JurriaanKnol;FritsvanderH;David_Evers_NL;CeesJanPen;marcelslagman1;Elkespauk;robzakee,18,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '7174972', 'screen_name': 'NOS', 'id': 7174972, 'name': 'NOS', 'indices': [19, 23]}], 'urls': [{'url': 'https://t.co/itzPx5xSMf', 'expanded_url': 'http://nos.nl/l/2150734', 'indices': [112, 135], 'display_url': 'nos.nl/l/2150734'}]}"
137,815876504777269248,,,2017-01-02 11:04:51,85373334,Boomfeestdag,4397,3235,Officiële twitter van Stichting Nationale Boomfeestdag. Wij planten samen met kinderen bomen op de jaarlijkse Boomfeestdag om CO2-vervuiling tegen te gaan.,3995,Dit jaar is het goede voornemen van de Boomfeestdag het planten van meer bomen. Wat is uw goede voornemen (voor een beter klimaat)? 🌳,5,BlijdeBIJ;genf_infra;TreesForAll;peter_gorcum;VermeulenGroen,12,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': []}"
144,799607117149863936,,,2016-11-18 13:36:07,149592220,ankevanhal,1361,47,professor Sustainable Building at the Delft University of Technology and Nyenrode Business University,351,Focus op klimaat in plaats van energie en de bijvangst is woongeluk. Win-win-win. https://t.co/cMrfasZXS5 @HomeMates3s @happyrenovatie,4,Warmetruiendag;Klimaatzuster;jetske_thielen;RedjePakketje,10,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '4039624513', 'screen_name': 'HomeMates3s', 'id': 4039624513, 'name': 'HomeMates3s', 'indices': [106, 118]}], 'urls': [{'url': 'https://t.co/cMrfasZXS5', 'expanded_url': 'http://www.homemates.nl/blog/de-buurt-boost/', 'indices': [82, 105], 'display_url': 'homemates.nl/blog/de-buurt-…'}]}"
153,812218979297226756,,,2016-12-23 08:51:09,781124835749588992,ArnhemsKlimaat,147,351,Arnhem Klimaatbestendig informeert en inspireert Arnhemmers om de stad samen klimaatbestendiger te maken.,43,"Tip 7 van @hiltrudpotz: alle platte daken groen plus zonnecollectoren. Goed voor klimaat, opbrengst en biodiversite… https://t.co/YntB9y7MEj",2,GroenArnhem;Gythav,5,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '307907689', 'screen_name': 'hiltrudpotz', 'id': 307907689, 'name': 'Hiltrud Pötz', 'indices': [10, 22]}], 'urls': [{'url': 'https://t.co/YntB9y7MEj', 'expanded_url': 'https://twitter.com/i/web/status/812218979297226756', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…'}]}"
